date,startup,vertical,subvertical,city,investors,round,amount
03-04-2015,Swiggy,Online Food Delivery,,Bengaluru,"Accel Partners, SAIF Partners",Private Equity,16.4
04-04-2015,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,1.64
06-04-2015,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,0.98
07-04-2015,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,1.35
07-04-2015,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,1229.85
07-04-2015,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,18.04
08-04-2015,FirstCry.com,E-Commerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India, SAIF Partners, Vertex Ventures",Private Equity,81.99
08-04-2015,MobiKwik,"Digital , Mobile Wallet",,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,204.97
08-04-2015,Olacabs,Cab Aggregator,,Bengaluru,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,3279.6
09-04-2015,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,1.64
09-04-2015,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,16.4
09-04-2015,Changer Mints,"Digital , Mobile Wallet",,Kolkata,Hyderabad based investor,Seed Funding,1.35
09-04-2015,Urban Ladder,Online Furnishing  E-Commerce,,Bengaluru,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,409.95
10-04-2015,Whatfix,Interactive How-To Guides,,Bengaluru,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,7.38
11-04-2015,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,204.97
13-04-2015,ZopNow,Online Grocer,,Bengaluru,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,81.99
13-04-2015,Nayi Disha,Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,2.46
13-04-2015,The Porter,Logistics Tech,,Mumbai,Kae Capital,Seed Funding,4.1
13-04-2015,Commeasure,Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,8.2
13-04-2015,Capricoast,Online Kitchen Furniture,,Bengaluru,Accel Partners India,Seed Funding,10.25
14-04-2015,LocalOye,Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,41
15-04-2015,Grofers,"Hyper-Local Online, Mobile Grocery",,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,286.96
15-04-2015,PepperTap,"Hyper-Local Online, Mobile Grocery",,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,81.99
15-04-2015,PolicyBazaar,Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,327.96
16-04-2015,UrbanClap,Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,13.12
16-04-2015,Taskbob,OnDemand Mobile Handyman Services,,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,9.84
17-04-2015,Robosoft,Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,98.39
20-04-2015,Pastiwala,Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,32.8
20-04-2015,1mg,Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,49.19
20-04-2015,Freshdesk,Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,409.95
20-04-2015,Sulekha.com,Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,229.57
22-04-2015,Eat.Shop.Love,Fashion E-Commerce,,Bengaluru,Undisclosed Investor,Private Equity,28.7
22-04-2015,Avanti Learning,Private Coaching Centers,,New Delhi,"Michael & SUSn Dell Foundation, Pearson Learning Fund",Private Equity,12.3
23-04-2015,Simplilearn,Online Certification Courses,,Bengaluru,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,122.98
23-04-2015,Craftstvilla,Ethnic Product E-Commerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,147.58
23-04-2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bengaluru / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,14.76
23-04-2015,happay,usiness expense management,,Bengaluru,AngelPrime,Seed Funding,4.1
23-04-2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,8.2
24-04-2015,Coverfox,Online Insurance Aggregator,,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,98.39
27-04-2015,Torqus,Restaurant Management Platform,,Pune,S S Mukherji & Others,Seed Funding,2.87
27-04-2015,LogicRoots,Interactive Educational Games,,Jaipur,"Ah! Ventures, Calcutta Angels, 91SpringBoard",Seed Funding,3.28
28-04-2015,Babajobs,Grey collar Job Board,,Bengaluru,SEEK Ltd & affiliates,Private Equity,81.99
28-04-2015,Jay Robotix,Robotic Program learning,,Hyderabad,Cross Border Angels & others,Seed Funding,2.05
28-04-2015,Naaptol.com,Tele-Shopping / E-Commerce,,Mumbai,Mitsui & Co & existing investors,Private Equity,176.28
29-04-2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,8.2
29-04-2015,Icertis,Cloud Enterprise Software,,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,49.19
29-04-2015,Tracxn,Startup Analytics platform,,Bengaluru,SAIF Partners,Private Equity,28.7
29-04-2015,Tradelab,Financial Markets Software,,Bengaluru,Rainmatter,Seed Funding,3.28
29-04-2015,PiQube,Hiring Analytics platform,,Chennai,The HR Fund,Seed Funding,4.1
29-04-2015,Travel Triangle,Online Travel Marketplace,,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,65.59
01-05-2015,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,819.9
01-05-2015,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,0.82
04-05-2015,Applicate,Workforce Management Software,,Bengaluru,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,4.51
04-05-2015,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,1.64
04-05-2015,SpoonJoy,Online Food Delivery,,Bengaluru,SAIF Partners,Seed Funding,8.2
05-05-2015,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,5.33
05-05-2015,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,2.05
05-05-2015,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,49.19
05-05-2015,Fintellix,Banking Analytics Platform,,Bengaluru,"IDG Ventures, Sequoia Capital",Private Equity,122.98
06-05-2015,Delhivery,E-Commerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,696.92
